Utterance,Sentiment
这不是要出差了吗,negative
就担心你和杨杨 就怕你们两个处不好,negative
你就别操心了,positive
你走这几天我和杨杨也就早晚能见一面,negative
我管好他早饭，午饭、晚饭我估计他都不会回来吃的,negative
就放心,positive
我会跟他好好说话的,positive
不会跟他嚷嚷的,positive
反正你是知道杨杨的个性,negative
你要是实在忍不住想要跟他谈,negative
你就记着别激进,negative
我知道,neutral
这关系一时半会也缓不过来,neutral
还好,neutral
你只走几天,neutral
对,neutral
你晚上几点的飞机,neutral
9点的,neutral
我6点多出门就可以,neutral
你们晚上想吃点什么,neutral
你就别管了,neutral
杨杨还不一定回来吃饭,negative
他晚上要是回来,neutral
我给他下点饺子,neutral
我叫了杨杨,neutral
咱们仨也好久没在一块吃个饭了,neutral
晚上我好好的做一顿,neutral
那行,positive
吃完饭以后我去送你,positive
不用送,neutral
又不是出国,neutral
反正也是打车,neutral
不用送,neutral
这还是感冒了吧,negative
晚上睡到半夜冻醒了,neutral
我一摸暖气一点都不热,neutral
对了,neutral
得给物业打个电话,neutral
你来打 这里面有 你找找,neutral
你好 物业吗,neutral
我是506栋1单元106室的,neutral
你看我们,neutral
这个暖气不热,neutral
什么,neutral
要找房东是吧,neutral
行行,neutral
谢谢,neutral
物业怎么说,neutral
他说要开阀门放气,neutral
我找房东才行,neutral
下班以后去找,neutral
你不用管了,neutral
反正我一会要回去收拾东西,neutral
对了,neutral
这上面有药,neutral
拿着 到办公室想着吃,neutral
这儿,neutral
对,neutral
你打开 就这儿,neutral
你真行,positive
这上面还藏着药,positive
想着吃,negative
我才不吃 多大点事 抗抗就过去,positive
我不吃,negative
你不吃可不行,negative
你真要是病倒了谁照顾杨杨,negative
行行我吃,positive
我带着了,positive
你看好了,positive
我把它贴手背上 怎么都不可能忘了,positive
我肯定到办公室就吃,positive
想着吃就行,neutral
书记 你找我,neutral
来 老季 坐,neutral
是这样,neutral
我想跟你聊一聊区委常委名单,neutral
的事,neutral
名单下来了,neutral
是,neutral
明天就会出公示了,neutral
所以 组织让我先跟你聊一聊,neutral
是这样,neutral
今年你没有入选,neutral
我知道你在想什么,neutral
所以找你聊一聊,neutral
老季 你可千万别有别的想法,neutral
这一次,neutral
组织上也是有各方面的考虑,neutral
我个人没有别的想法,negative
请领导放心,negative
但是陈书记我想确认一下,negative
这次是不是因为我儿子那张图的事,negative
我儿子那张图的事儿,negative
学校已经给了明确的处理,negative
再说那辆法拉利确实不是我们家的,negative
我代表组织申明一下,neutral
你的事儿,neutral
跟你儿子学校的事一点关系都没有,neutral
主要是组织上也统一的安排,neutral
你别多想,neutral
你做干部这么多年应该有所了解吧,neutral
了解,negative
老季你别着急,neutral
你刚调回来不久以后还会有的是机会,neutral
明白,negative
谢谢书记,negative
男孩和女孩的房间布置的就是不一样,positive
这里面全是跟车有关的东西,positive
是 我们家杨杨就喜欢研究汽车,positive
是我看出来了,positive
开学那天我看见他吧 穿了一个赛车服,positive
特别帅,positive
那时候你们好像还没回来,neutral
是不是,neutral
我看见是他舅舅陪他去的,neutral
对,neutral
那个时候我们确实没回来,neutral
杨杨这孩子虽然话不多,neutral
但一看还挺成熟,neutral
好像挺懂事的,neutral
他成熟什么 他就是一个孩子,negative
你要说成熟,positive
我觉得英子是真是成熟 特别好,positive
这孩子 您教育的可真好,positive
瞧你夸他 那也就是个孩子,positive
也就算是学习还可以,positive
也得让人管着,positive
英子多棒,positive
也挺有想法的,positive
性格也好,positive
比我们家杨杨不知道强多少倍,positive
我老跟老季讲,positive
羡慕您,positive
我们要是能有这么个女儿就好了,positive
哪儿,negative
我就是,neutral
单纯的喜欢英子这个孩子,neutral
我刚到天文馆那个时候就听说了,neutral
有一个义务讲解员特别优秀,neutral
结果一了解是英子,positive
你看咱们这又成了邻居了,positive
是挺有缘分的,positive
他跟杨杨以前还是两年的同学,positive
对,neutral
以前这两年都是同班同学,neutral
所以我就特别的关注他,positive
谢谢你,neutral
到了他们这个年纪,neutral
无论男孩女孩都挺叛逆的,neutral
不好管,neutral
是,negative
宋老师,neutral
我听说您校里校外的都在帮着孩子补习,neutral
在家里还帮着答疑对吗,neutral
对,neutral
就是我们能成教育,neutral
好多咱们学校的学生都在我那,neutral
晚上如果还有什么疑问也会去家里答疑,neutral
你还有时间吗,neutral
能不能也帮帮我们家杨杨,neutral
可以,positive
当然可以,positive
这楼上楼下也方便,positive
他无论愿意去能成那边找我,positive
或者到家里都行,positive
好好,positive
先谢谢您了,positive
客气了,positive
我真的没有想到是你,negative
我知道你们换了课 换了老师,negative
也看到了你们的差评表,negative
因为你们的差评表 我这个月绩效都没有合格,negative
对,negative
是我们给你打的,negative
不是,negative
如果你们觉得我的课程有问题的话,negative
你们可以给我差评,negative
但你们现在的行为属于公报私仇,negative
你们这样真的很过分了,negative
是吗,negative
我们也没办法 是你们健身房就规章制度,negative
要想换班只能填差评,negative
我们也没办法,negative
但是既然你说到这一点小梦,negative
我真的善意的提醒你,negative
你现在爱情物质都有了,negative
双丰收了,negative
离宋倩她女儿远一点,negative
他现在就这一个女儿,negative
人家都说了,negative
你是他跟他女儿之间的第三者是小三,negative
我劝你别刺激他了,negative
不是我刺激他,negative
我跟乔卫东我们俩是自由恋爱,negative
我是他未婚妻,negative
我接触英子再正常不过了,negative
是他自己太敏感,negative
你不要总说别人的问题,negative
你找找你的问题,negative
你凭什么说他敏感,negative
也别老拿自己当未婚妻自居,negative
我告诉你以我的经验,negative
什么未婚妻,negative
未婚夫这订婚的一般到最后都结不了婚,negative
我告诉你你那点想法大家都清楚,negative
都是女人,negative
没说你错,negative
你想拉拢乔卫东,negative
所以对英子好一点,negative
你爱对那个男的怎么样无所谓,negative
因为这男的跟他没关系了,negative
但是这孩子现在高三现在是最关键的一年,negative
我告诉你,negative
我真的我希望你能忍一忍这一年,negative
别掺和他们的事情,negative
离英子远一点,negative
作为一个妈妈我都看不下去了,negative
你老去那干嘛去,negative
你自己没有燕窝吗,negative
是乔卫东不给你买还是怎么回事,negative
你跟我说不着这些,negative
我本来觉得我男朋友跟你老公是哥们,negative
咱俩也许能成为好朋友,negative
但如果你一张嘴就这个态度,negative
我觉得就没有这个必要了,negative
我不要跟你这样的人成为好朋友,negative
我只有一个好朋友就是宋茜,negative
你们家孩子艺考的事跟我也没有关系,negative
本来跟你就没关系,negative
那是我自作多情,negative
你以为,negative
我真是热脸贴冷屁股,negative
我耽误您时间了是吧,negative
你有病吧,negative
你还有理了,negative
阿姨,positive
英子快进来,positive
你还是第一次来阿姨家,positive
你家好干净,positive
咱们楼上楼下住着 还没串过门,positive
是 您 这干什么呢,positive
阿姨在做饭,positive
今天晚上他们都回来,positive
快来 英子,positive
快坐下,positive
你昨天给阿姨发微信说要聊天,positive
是不是有什么事,positive
其实也没什么事,neutral
上次跟你聊完天觉得特别开心,positive
就想再来找你,positive
然后正好想请您吃脏包,positive
这是什么,positive
现在特别火的一个网红面包,positive
你尝尝,positive
好好,positive
你们小朋友一天一个新花样,positive
这怎么吃,positive
就直接咬着吃,positive
没事您别怕,positive
虽然长得挺瘆人的,positive
但是其实特别好吃,positive
真的特别好吃,positive
我尝尝,positive
好吃,positive
不是你等一下看看,positive
你们这些小朋友净发明这些新鲜玩意,positive
一天一个样的,positive
您 干纸巾擦不干净,positive
我就湿纸巾帮您擦 来,positive
不过真的挺好吃的,positive
是吧 季杨杨平时不跟您说这些吗,positive
杨杨他喜欢赛车,neutral
平常连话都不跟我们讲,neutral
没事以后这些我跟你说,positive
你们这些小朋友发明这些东西就是为了整人的,positive
对吧,positive
这好吃是不是,positive
不然他,positive
怎么能成为网红零食的,positive
不光有网红零食,positive
还有网红饮料,positive
咸的奶茶 你肯定没喝过吧,positive
喝过,positive
我那时候跟你季叔叔,positive
我们在青岛的时候,positive
我们天天都喝,positive
阿姨不是那种咸奶茶,positive
就是我们现在特别流行的叫做海盐奶盖 没喝过吧,positive
我连听都没听说过,positive
没事,positive
我以后带你去喝,positive
还有刘慈欣,positive
你应该听说过,positive
刘慈欣是个作家吗,positive
他在我们中间特别流行,positive
大家都特别爱看他的书,positive
比如说三体 流浪地球 乡村教师,positive
都是他写的书,positive
流浪地球我倒是知道 我看到过杨杨看这本小说,positive
杨杨好像特别喜欢看,positive
我也特别喜欢科幻小说,positive
但我还是更喜欢生活中真正的宇航员,positive
就是,positive
您知道,positive
上次我在咱们天文馆 我演讲的时候介绍过 刘洋,positive
他是中国第一位飞向太空的女宇航员,positive
他很厉害 是吧,positive
难怪你那天演讲那么出色,positive
你都把阿姨给迷着了,positive
原来是偶像的力量,positive
对,positive
他可是我的人生榜样,positive
我就希望,positive
如果有一天我可以像他一样站在太空看地球,positive
看来英子是真的喜欢天文,positive
刚才咱们还聊网红食品,positive
你几句话就绕回来了,positive
还真是 我,positive
我今天还想报名南京大学的天文冬令营,positive
我就希望我可以这一辈子一直一直研究宇宙,positive
天文冬令营 那是什么,positive
阿姨我不该跟你说这个的,negative
你能别告诉我妈妈吗,negative
为什么 这好事,negative
你干嘛要瞒着妈妈呢,negative
妈妈不同意你学天文,negative
那倒也不是,negative
我之前也没跟我妈提过,negative
我不确定他会不会同意我考去南方,negative
因为他一直都想让我考北大清华,negative
但我跟您说过我就是喜欢天文学,negative
我就想学,negative
这是我从小的梦想,negative
所以我就想去南京大学,negative
它历史悠久,negative
而且天文学系又是全国第一,negative
所以我就想去南京大学也就报名天文冬令营了,negative
我明白了,neutral
行,neutral
阿姨一定替你保密,neutral
拉钩,neutral
我妈之前也经常跟我拉钩,negative
他总是说什么,negative
你要考好了就带你去吃麦当劳,negative
去给你买乐高,negative
但其实最后一件也没完成,negative
所以我总结大人的拉钩啥的,negative
不靠谱、不保障,negative
特low对吧,neutral
怎么才能有保障呢,neutral
要不 阿姨也跟你说个秘密,positive
可是阿姨秘密太多了,positive
说哪个好呢,positive
开玩笑的,positive
吓死我了,positive
这样阿姨眼下就有一个秘密,neutral
阿姨今天要去医院做个小手术,negative
但是没跟你季叔叔和杨杨讲,negative
我跟他们说我要去南京出差,negative
什么手术,negative
其实也不算是手术 就是检查的一个部分,negative
但是需要住两天的医院,negative
可是这就算是个检查,negative
您也不能瞒着他们 再说了,negative
你一个人去医院又没人照顾,negative
多可怜,negative
你不想跟妈妈讲,neutral
是怕他伤心对吧,neutral
我不跟他们讲,neutral
是怕他们担心,neutral
阿姨你一定要好好的,negative
谢谢英子,neutral
放心,neutral
你也给阿姨保密,neutral
好 一定 但是阿姨 您不是因为我是个陌生人才跟我说这些的吧,negative
当然不是了,neutral
阿姨特别喜欢你,neutral
阿姨特别想跟你做朋友,neutral
那我可以去看您吗,negative
好好上课,neutral
听阿姨的,neutral
好吧,negative
继续吃,positive
再给你啰嗦一句,neutral
报考南大的事儿,neutral
你要找机会再跟妈妈好好的商量,neutral
我听说你从小是妈妈一个人带大的,neutral
一个人带孩子特别的不容易,neutral
你别伤了他的心,neutral
你不跟他说是怕伤他的心,neutral
但其实反倒会让他更伤心的,neutral
好吧,neutral
我等到被学校录取了,neutral
我就去跟他谈,neutral
说不定就能说服他了,neutral
妈妈你回来了,neutral
你干嘛呢,positive
我也刚回来,positive
我刚才在楼下看你了,neutral
是吗,neutral
干嘛去了,positive
也没干嘛,positive
就是去,positive
刘静阿姨家了,positive
去他们家干嘛,positive
就聊聊天,positive
聊什么,positive
就刘静阿姨,positive
想感谢我,positive
谢什么,positive
我不是给,positive
季杨杨送卷子去了,positive
他在学校管我要来的,positive
想看一下解题步骤什么的,positive
你喝点水,positive
然后刘静阿姨就送我出门了,positive
让我在学习上多帮衬着点杨杨,neutral
今天早上我去他们家的时候,neutral
杨杨妈妈也跟我说,neutral
想杨杨到咱家来答疑,neutral
您还去他家了,negative
您跟刘静阿姨,negative
熟吗,negative
他不是租咱家房吗,positive
暖气一直不太热,neutral
我说去看看,neutral
现在好点了吗,neutral
没注意,neutral
行,positive
你先去写作业,positive
好不好,positive
我这就给你做饭 有点饿了吧,neutral
做好了叫你 怎么了,positive
还有事,positive
没事,positive
您做饭吧,positive
你有什么特别想吃的东西吗,positive
您做什么我都爱吃,positive
真会说话 快去做题,positive
做好以后 吃完饭以后 再给你看,positive
怎么样,neutral
点菜了吗,neutral
受委屈了,neutral
吃点好了,neutral
给谁打电话,negative
没谁,neutral
没谁是谁,negative
我问你给谁打电话,negative
给英子,negative
就是说约英子吃饭的事,negative
给英子打电话,negative
我不能听吗,negative
你到底是给英子打还是给你前妻打,negative
这重要吗,negative
当然重要了,negative
给谁打的,negative
电话是给英子的妈妈打的,negative
但是说的是约英子吃饭的事,negative
乔卫东 我明白了,negative
现在你们俩还是有说有笑的,negative
把我一个人当外人,negative
我今天跟你说的话,negative
都当耳旁风了是吗,negative
现在不光你前妻欺负我,negative
他闺蜜都变着法的来跟我找茬,negative
你晚上又骗我,negative
你说你让我怎么活,negative
我不吃了,negative
别,negative
不吃了,negative
好了,negative
听话 听话,negative
我一件事一件事给你解释好不好,negative
先坐下,negative
听话,negative
听话,negative
今天童文洁的事我也听明白了,neutral
他找你绝对是赶巧,neutral
不是故意找茬,neutral
还有刚才那个电话,neutral
我确实是找英子找我女儿,neutral
你别多想,neutral
我能不多想吗,negative
你说我现在算怎么回事,negative
我还是不是你女朋友,negative
是 那还是我男朋友吗,positive
讨厌,negative
你说现在咱俩又不住一起,negative
我见你一面都难,negative
这恋爱谈的还有什么意思,negative
这不没结婚了吗,neutral
结婚以后不就住一起了吗,neutral
我们这个年龄还都比较传统,neutral
咱俩什么时候结婚,negative
这不是装修房子了吗,neutral
房子装修好了放味,neutral
没味了咱就结婚,neutral
这不都以前说好的,neutral
说好的 说好的,negative
你说你现在三天两头跟你前妻联系,negative
你让我怎么想,negative
你到底怎么想的,negative
你今天跟我说句实话,negative
我什么怎么想的,negative
我跟他联系什么,negative
我确实是为了英子,negative
我约英子吃饭,negative
英子你一天到晚就是英子,negative
你要那么爱英子,negative
你为什么跟你前妻离婚,negative
你为什么要跟我在一起,negative
怎么这么晚才回来,negative
跟你说了嘛,neutral
今儿同学聚会,neutral
我去晃了一圈,neutral
这么大酒味,negative
我喝一点 不是 他们白酒撒我裤子上 闹酒,neutral
都睡了,neutral
我在想 跟他们走动,neutral
看看有什么机会,neutral
啥情况也没有,neutral
现在是寒冬 整个行业都不好,neutral
各行各业都不好是吧,neutral
我的几个同学要不就自己公司准备裁别人,neutral
要不就在别人公司等着被裁的,neutral
方圆儿我们公司今天开始 也裁员了,negative
裁不着你,neutral
老员工应该没事吧,neutral
你不也是老员工吗,negative
也是,negative
不说这事了,negative
我跟你说方一凡的事,negative
我今天跟他谈过了,negative
他同意了,negative
不参加艺考,negative
踏踏实实参加高考,negative
这么大事也不跟我商量一下,negative
不需要跟你商量,negative
你肯定会同意的,negative
你说咱们家又不是艺术世家,negative
方一凡又没有什么艺术细胞,negative
干嘛去凑热闹,negative
真的,negative
而且我今天都打听清楚了,negative
艺考是要提前准备的,negative
因为这个艺考是要提前考的,negative
你知道吗,negative
他提前好几个月了,negative
你现在来不及,negative
你看看,negative
什么东西,negative
你自己看看录取比例,negative
你看看,negative
录取比例195:1,negative
这有点难,negative
这不是有点难,negative
这是非常难,negative
这么低的录取比例这么难,negative
他怎么能考上呢,negative
咱们说方一凡现在参加艺考两条路两个结果,negative
一个是考上,negative
一个考不上,negative
我先不说他考上了,negative
他要是考不上明年怎么办,negative
明年是继续艺考还是继续高考,negative
你告诉我,negative
咱退一万步说就算他考上了,negative
你觉得你儿子将来真能当演员,negative
当什么表演艺术家,negative
歌唱家,negative
他是这块料吗,negative
他不是这块料,negative
不要做这个梦了,negative
对了,negative
今天陈姐给我介绍的指导老师你猜是谁,negative
你见了演员 见着明星了,negative
乔卫东的小老婆小梦,negative
人家女朋友不是小老婆,negative
什么女朋友不这怎么回事吗,negative
将来娶了不就小老婆吗,negative
这小梦还真不错,negative
还挺可以的,negative
舞蹈学院音乐剧班毕业的,negative
还教过几个学生,negative
辅导过几个学生都成了,negative
这不挺好,neutral
好什么呀 一见着我的面就开始挤兑宋倩,negative
还说那差评的事,negative
他再挤兑我急了,negative
我给他10个差评,negative
我让他1个季度都拿不到绩效,negative
我问你,negative
你不让方一凡参加这个艺考,negative
是不是跟小梦老师有关系,negative
有关系,negative
这小梦不也就是什么艺术院校毕业的又怎么样,negative
不就是在小区的瑜伽馆里面当个老师,negative
不疼不痒,negative
带几个学生 能有什么出息,negative
方一凡毕业以后也这样到瑜伽馆里面当瑜伽老师去,negative
这男的也没有教瑜伽的,negative
就是,negative
行,negative
我相信你肯定不会因为跟小梦吵嘴的事情,negative
不让凡凡去考虑艺考,negative
你跟人方一凡商量说他不跟你急,negative
他跟我急什么,negative
我给他看数据了,negative
有什么好急的,negative
我给他摆事实讲道理,negative
他听完以后老老实实的就去房间里面写作业了,negative
不应该,negative
按道理这一般来讲,negative
你要跟他说个事,negative
他得跟你掰扯掰扯不掰扯是不是,negative
真往心里去了,negative
童文洁,negative
这可别是方一凡真正的梦想,negative
咱给人梦想扼杀在摇篮里了,negative
拉倒,negative
这哪是梦想,negative
这是头脑发热,negative
这叫异想天开,negative
还是给我踏踏实实的准备高考,negative
也是 录取率是太低了,negative
对,negative
你以后也是别在家里边再提艺考了,negative
行,negative
我洗澡去了,negative
儿子,negative
爸爸和妈妈从来没奢望过你成为一个学霸,negative
但是你最起码你得考上一凑合的大学,negative
这点得做到,negative
是考大学不得要分,negative
我每次看到我成绩不好的时候,negative
我心里你以为我好受 我也不好受,negative
你和我妈天天在我身边叭叭叭说个不停,negative
我心里也是有感触的,negative
对不对,negative
但是你们要接受现实,negative
你跟我妈要接受这个现状,negative
你看刚才我跳舞 那么多人喜欢看我跳,negative
而且每次只要我跳舞的时候,negative
感觉到真正的自由放松,negative
而且我感觉全世界都在我脚底下,negative
你能理解我这个感受吗,negative
理解不了,negative
就是说 你也不明白,negative
就是说艺术要用心去感受,negative
这样 要不我再给你跳一个,negative
得得得了吧,negative
你在这跳什么跳,negative
我刚才看你跳的是不错,neutral
挺有才华的,neutral
爸爸年轻时候也参加过艺考,negative
你知道吗,negative
我能理解你那种用心感受那种感觉,negative
但儿子是吧,negative
你现在看着我的眼睛 对 你个子矮,negative
你看着爸鼻子,neutral
你跟爸爸说 认真的说,neutral
你是不是真的喜欢唱歌唱,neutral
我真的喜欢唱歌跳舞,neutral
而且我这种不是说就拿它当做一个玩儿,neutral
而且我也不是考不上大学,neutral
我去混个大学,neutral
我是真心喜欢,neutral
行,neutral
真喜欢 那爸爸宣布单方面的支持,neutral
 好,positive
不是 单方面什么意思,negative
单一方面就是代表我个人支持你 妈妈,neutral
那儿我不清楚,neutral
我也决定不了,neutral
你办事不能这么不靠谱,negative
我这已经很靠谱了,negative
儿子 我能单方面支持你就已经不错了,negative
你是在家里我说话也不算数,negative
那妈妈能不能支持你,negative
我哪决定的了,negative
那也是 不 换句话来说就是 我妈要是说不行,negative
你说行也没有用,negative
我说行或者不行都不代表着行,negative
妈妈说不行也未必就是不行,negative
你懂吧,negative
爸 你捋一下 什么意思,negative
到底行还是不行,negative
我说行或者不行都代表着行或者是不行,neutral
妈妈说不行也不代表就完全不行,neutral
找一个专业的有专业眼光的,neutral
有专业资质的给你看一看,neutral
你到底适不适合,neutral
适合那就是行,neutral
我们就支持你,neutral
如果不行你就好好去准备考大学去,neutral
也行 爸 你真好 爱您,positive
等会儿,negative
今儿也不是周末,negative
这工作日 你不工作在这待着干嘛,negative
你就别管我了,negative
我又不是小孩,negative
我又不是逃课,negative
我这单位派我出来办事,negative
这不很正常吗,negative
行行,negative
赶紧抓紧,negative
这都迟到了,negative
磊磊呢,negative
回来了,neutral
堵死我了,negative
堵车是吧,neutral
我不跟你说了,negative
我今天好多表要给做完了,negative
明天一早得交上去,negative
你做饭了没有,neutral
做什么,neutral
我今天请你吃,positive
蒸花鸭，蒸鹿尾儿,positive
酱鸡，腊肉，松花，小肚儿,positive
哪呢,negative
都在我的脑子里,neutral
没做饭,negative
没做,neutral
孩子回来吃什么,negative
吃屎,positive
做了 都这儿呢,positive
你会用蒸箱了,positive
初次使用请多多关照,positive
你可以啊,positive
这有什么了不起的,positive
我看看说明书 10分钟我就搞定,positive
行 以后多蒸煮,positive
少煎炸 少吃点油,positive
对身体好,positive
好勒,positive
今天一天都在家呆着,neutral
什么跟家呆着,negative
工作还是跑了 跑了半天,negative
我发现咱这岁数找工作是不容易,negative
人到中年 应了,negative
那句话 上不去下不来,negative
体力上不去,negative
面子下不来 饭量上不去,negative
脂肪下不来 理想上不去,negative
血压下不来,negative
这灯泡我得擦擦,negative
最后就是楼梯上不去,negative
上了床你就下不来,negative
少贫你,negative
我发现 找工作现在 到咱这岁数确实不容易,negative
别说找个白领 蓝领都不好找,negative
你说我这一天在外面溜达,negative
这冬天 站在外边冷,negative
坐车上呢 开暖气又废油,negative
在商场里也不是事,negative
你在商场里溜达,negative
保安看我跟看贼似的,negative
说这哥们你整天在那溜达,negative
方圆方圆,negative
咱不找了 好不好,negative
咱就在家待着行不行,negative
该找还得找,negative
我也不能不工作,negative
我现在就在想,negative
你说我 我当初这个专业是不是选的不对,negative
原本想说有个专业 好歹找个铁饭碗,negative
怎么弄成这德行 德行了,negative
你说的对,neutral
上次我们同学聚会,neutral
我们一个班不都学一个专业吗,neutral
毕业以后干什么的都有,neutral
还干的都挺好,neutral
我当初就不该听我爸的,negative
我爸就不该听我姑的,negative
弄什么学法律,negative
想弄个法律世家,negative
我跟你讲我压根就不喜欢这个专业,negative
我就不想当个律师,negative
我也不想当个法务,negative
你说人为什么不能这样 童文洁,negative
为什么不能按照自己的兴趣去选择一个自己感兴趣的喜欢的专业,negative
这事又能养活自己,negative
又干的开心,negative
还享受这工作,negative
这该多好啊,negative
这是好,neutral
但哪有这么好的事儿又喜欢还能又挣钱,neutral
你说咱们那会儿不就是因为这个没得选吗,neutral
媳妇,neutral
咱们那会真的是没得选,neutral
有兴趣的事情最后做不了,neutral
如果说上天再给我们一次机会,neutral
让我们有的选 肯定选了,neutral
对不对,neutral
现在能不能在有机会或者是创造机会的情况下,neutral
让咱们的孩子 方一凡,neutral
他们可以多一个机会,neutral
多一次 选择一个他们喜欢的专业,neutral
这等着我呢 让方一凡选什么,neutral
不在这等着,neutral
你平常是这样,neutral
咱俩教育孩子,neutral
你为主我为辅,neutral
对吧,neutral
你冲到前面我的后面,neutral
你有的时候打两下,neutral
说话凶一点,neutral
我都支持你,neutral
但是我觉得方一凡你别看他虽然是个皮猴,neutral
心智不是特别成熟,neutral
怎么说也18了,neutral
我们是不是能听听孩子自己心里的想法,neutral
比如呢,neutral
比如今天啊,neutral
我在商场跟他沟通了一下,neutral
我就觉得方一凡,neutral
等会你在哪跟他沟通,negative
操场,negative
行,negative
我承认,negative
我说漏嘴了,negative
商场 我跟他在商场沟通了,negative
我说漏嘴了,negative
什么情况,negative
你跟他在商场 他逃课了,negative
不是没逃课,negative
他是利用中午午休时间,negative
我们在商场碰个面,negative
我们是碰,negative
什么利用午休时间,negative
他午休他可以在学校里写作业,negative
或者他想睡觉他回家,negative
什么意思,negative
你别瞒着我怎么回事,negative
我批评他了,negative
我已经严肃的批评他了,negative
他不应该这样,negative
对不对,negative
即便是用午休时间,negative
也应该在家里好好休息,negative
或在学校里边好好温习功课,negative
跑商场干嘛去,negative
我我严肃的批评他,negative
但是,negative
为什么去商场,negative
我说  但现在不是说这事 你知道吗,negative
我批评他了,neutral
他去商场是干嘛去了,neutral
他去商场他是心情不好,neutral
知道吧,neutral
他就到商场游戏厅跳舞机上去跳了会舞练练练舞蹈,neutral
你听我讲,neutral
他跟我说句什么话,neutral
挺触动我的,neutral
你听我说他跟我说他爸爸我真的太喜欢唱歌跳舞了,neutral
我真的喜欢,neutral
而且我看那些跳舞那些视频短的那种,neutral
我看一遍我就能练个八九不离7,neutral
可是我学习那什么物理什么数学,neutral
我看百八十遍我都学不会,neutral
我就是记不住,neutral
孩子18了你知道吗,neutral
他现在要面子,neutral
他有时候学不懂,neutral
学不懂的东西他也不好意思说了,neutral
都跟我说了,neutral
他心里肯定还是别扭,neutral
对吧,neutral
我觉得咱们可可不可以稍微想想孩子心里到底怎么想的呢,neutral
可以,neutral
可以听听他心里怎么想的,neutral
你说的没错,neutral
我也认同,neutral
但是方圆他心里想的如果不靠谱怎么办,negative
你告诉我他如果想杀人放火,negative
你也由着他,negative
孩子18了你知道吗,neutral
他现在要面子,neutral
他有时候学不懂,neutral
学不懂的东西他也不好意思说了,neutral
都跟我说了,neutral
他心里肯定还是别扭,neutral
对吧,neutral
我觉得咱们可不可以稍微想想孩子心里到底怎么想的呢,neutral
可以,neutral
可以听听他心里怎么想的,neutral
你说的没错,neutral
我也认同,neutral
但是方圆他心里想的如果不靠谱怎么办,negative
你告诉我他如果想杀人放火,negative
你也由着他,negative
你这不抬杠吗,negative
杀人放火跟唱歌跳舞两码事,negative
不是抬杠,negative
我这给你打个比方,negative
你比方 这前门楼子胯骨轴子都挨不上茬,negative
不跟你说,negative
你说我们从小我们在幼儿园小的时候,negative
从小就练什么唱歌跳舞,negative
叔叔阿姨什么家长都说真好,negative
你们跳得真好,negative
小朋友想长大了想干嘛,negative
我要当音乐家老师,negative
我想当个舞蹈家,negative
老师，我想当一歌唱家,negative
好,negative
我们的老师 真好,negative
爸妈回来 你这将来当这真好,negative
结果一长大了,negative
每天数学物理化学,negative
语文什么英语全天天就学学这种高考好好考,negative
考完之后上一个公司到一个it公司天天在那挨踢,negative
是不是,negative
最后干嘛 打杂的跑腿的碎催 都干这个的,negative
我觉得我们为什么不能让孩子多一个选择的机会,neutral
这也是一种方向,neutral
方圆你什么意思,negative
你今天跟我说,negative
我可以给他选择的机会,negative
我可以给他方向,negative
他现在什么时候了,negative
他高三了,negative
你今天来说服我要用教育幼儿园小朋友的方法来鼓励他唱歌跳舞,negative
是这个意思吗,negative
我没有说让他像小孩似的幼儿园那样在学唱歌跳舞,negative
我只是说我其实跟他聊的时候,neutral
我看他那表情特别专注是吧,neutral
专注的程度就让我想起我小时候躲在被窝里面看武侠小说样子,neutral
还有我就玩鱼玩个虫,neutral
这种时候我也是那种专注的状态,neutral
我想我要看合同,neutral
看我不喜欢的法律文书,neutral
我一点兴趣都没有,neutral
我就想向方一凡这样他就对这东西有兴趣,neutral
我小时候有很多梦想都没有实现,neutral
别重蹈我当年的覆辙,neutral
长大以后后悔,neutral
方圆我先不说你选没选错专业,negative
至少这个专业保了你20年饭碗,negative
我要换个专业,negative
可能能保我30年金饭碗也说不定,negative
说不定 你是你 方一凡是方一凡,negative
我不想让我的儿子一毕业就失业,negative
就这么定了,negative
谁说学艺术就一毕业就失业了,negative
他想学唱歌跳舞 学那音乐剧,neutral
那学音乐剧的,neutral
我承认 有些人可能最后混的不好,neutral
开个网店,neutral
到什么形体班给人当个形体老师,neutral
但也有登上国际舞台的到百老汇的,neutral
对不对,neutral
还有像那个谁就是演员小眼睛长得挺难看,neutral
像牛头梗那个 不也现在成了一著名演员,neutral
是人民群众喜欢喜闻乐见的一个大明星,neutral
这不挺好的吗,neutral
我们之所以不让孩子去参加什么艺考,neutral
让他选择他有兴趣的事情,neutral
就是怕担责任,neutral
你知道吗,neutral
怕他有天失败了,neutral
回来怨我们 不就怕担这个责任吗,neutral
是 我就是怕担这个责任,negative
你要敢担这个责任,negative
我马上让他参加艺考,negative
我二话不说,negative
方圆 我说了多少次了,negative
我们都是第一次当父母,negative
我们一定是要给他最保险的一条路,negative
我第一次当妈你也是第一次当爹,negative
我们都没有经验,negative
我们能做的就是把我们已有的经验,negative
把我们这些能力,negative
把我们这些知识,negative
我们所知道的尽其所能的帮他选择一条相对正确,negative
相对大众相对保险的将来不被饿死的一条路,negative
高考哪怕你一本考不上二本二本考不上大专,negative
至少有个专业,negative
